Date,High,Low,Open,Close,Volume,Adj Close,Year,Series,Ticker,TR1,TR2,TR3,TRmax,N1,N2,MavgB1,MavgS1,MavgB2,MavgS2,Trade,Unit,LastPrice,CurrentPrice,EntryPrice,ExitPrice,StopPrice,StopInd,N,Direction,StartPos,PNL,TxCost,EndPos,Return,RisktoEq%,PrevTradeLoser,PostCrisis,S1orS2
2014-09-16,468.17401123046875,452.4219970703125,465.864013671875,457.3340148925781,21056800,457.3340148925781,2014,-0.018310061582272996,BTC-USD,15.75201416015625,0.0,0.0,15.75201416015625,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-17,456.8599853515625,413.10400390625,456.8599853515625,424.44000244140625,34483200,424.44000244140625,2014,-0.07192557601231186,BTC-USD,43.7559814453125,0.474029541015625,44.230010986328125,44.230010986328125,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-18,427.8349914550781,384.5320129394531,424.1029968261719,394.7959899902344,37919700,394.7959899902344,2014,-0.06984264508683824,BTC-USD,43.302978515625,3.394989013671875,39.907989501953125,43.302978515625,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-19,423.2959899902344,389.88299560546875,394.6730041503906,408.90399169921875,36863600,408.90399169921875,2014,0.03573491642945337,BTC-USD,33.412994384765625,28.5,4.912994384765625,33.412994384765625,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-20,412.4259948730469,393.1809997558594,408.0849914550781,398.8210144042969,26580100,398.8210144042969,2014,-0.02465854454739269,BTC-USD,19.2449951171875,3.522003173828125,15.722991943359375,19.2449951171875,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-21,406.9159851074219,397.1300048828125,399.1000061035156,402.1520080566406,24127600,402.1520080566406,2014,0.008352101649706567,BTC-USD,9.785980224609375,8.094970703125,1.691009521484375,9.785980224609375,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-22,441.5570068359375,396.1969909667969,402.0920104980469,435.7909851074219,45099500,435.7909851074219,2014,0.08364741783421215,BTC-USD,45.360015869140625,39.404998779296875,5.95501708984375,45.360015869140625,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-23,436.11199951171875,421.1319885253906,435.7510070800781,423.2049865722656,30627700,423.2049865722656,2014,-0.028880814347395978,BTC-USD,14.980010986328125,0.321014404296875,14.65899658203125,14.980010986328125,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-24,423.5199890136719,409.4679870605469,423.156005859375,411.5740051269531,26814400,411.5740051269531,2014,-0.027483091679796234,BTC-USD,14.052001953125,0.31500244140625,13.73699951171875,14.052001953125,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-25,414.93798828125,400.0090026855469,411.4289855957031,404.42498779296875,21460800,404.42498779296875,2014,-0.017369943788794973,BTC-USD,14.928985595703125,3.363983154296875,11.56500244140625,14.928985595703125,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-26,406.62298583984375,397.37200927734375,403.5559997558594,399.5199890136719,15029300,399.5199890136719,2014,-0.012128327693262664,BTC-USD,9.2509765625,2.197998046875,7.052978515625,9.2509765625,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-27,401.0169982910156,374.3320007324219,399.47100830078125,377.1809997558594,23613300,377.1809997558594,2014,-0.055914572166871124,BTC-USD,26.68499755859375,1.49700927734375,25.18798828125,26.68499755859375,,,0.0,-1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-28,385.21099853515625,372.239990234375,376.9280090332031,375.4670104980469,32497700,375.4670104980469,2014,-0.00454420890480145,BTC-USD,12.97100830078125,8.029998779296875,4.941009521484375,12.97100830078125,,,0.0,-1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-29,390.97698974609375,373.4429931640625,376.0880126953125,386.9440002441406,34707300,386.9440002441406,2014,0.030567238732558177,BTC-USD,17.53399658203125,15.509979248046875,2.024017333984375,17.53399658203125,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-09-30,391.3789978027344,380.7799987792969,387.427001953125,383.614990234375,26229400,383.614990234375,2014,-0.008603337970520819,BTC-USD,10.5989990234375,4.43499755859375,6.16400146484375,10.5989990234375,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2014-10-01,385.49700927734375,372.9460144042969,383.9880065917969,375.0719909667969,21777700,375.0719909667969,2014,-0.0222697222086099,BTC-USD,12.550994873046875,1.88201904296875,10.668975830078125,12.550994873046875,,,0.0,-1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
